,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
0,NonResidential,Hotel,7,DOWNTOWN,47.6122,-122.33799,1927,12,0,Hotel,Hotel,Rien,28444.075817081597,182.5,7456910.0,2003882.0,3946027.0,False,Compliant,249.98,2.83
1,NonResidential,Hotel,7,DOWNTOWN,47.61317,-122.33393,1996,11,15064,"Hotel, Parking, Restaurant",Hotel,Parking,15064.0,176.1000061,8664479.0,0.0,3242851.0,False,Compliant,295.86,2.86
2,NonResidential,Hotel,7,DOWNTOWN,47.61393,-122.3381,1969,41,196718,Hotel,Hotel,Rien,28444.075817081597,241.8999939,73937112.0,21566554.0,49526664.0,False,Compliant,2089.28,2.19
3,NonResidential,Hotel,7,DOWNTOWN,47.61412,-122.33664,1926,10,0,Hotel,Hotel,Rien,28444.075817081597,216.1999969,6946800.5,2214446.25,2768924.0,False,Compliant,286.43,4.67
4,NonResidential,Hotel,7,DOWNTOWN,47.61375,-122.34047,1980,18,62000,"Hotel, Parking, Swimming Pool",Hotel,Parking,68009.0,211.3999939,14656503.0,0.0,5368607.0,False,Compliant,505.01,2.88
5,Nonresidential COS,Other,7,DOWNTOWN,47.61623,-122.33657,1999,2,37198,Police Station,Police Station,Rien,28444.075817081597,316.2999878,12581712.0,0.0,7371434.0,False,Compliant,301.81,3.1
6,NonResidential,Hotel,7,DOWNTOWN,47.6139,-122.33283,1926,11,0,Hotel,Hotel,Rien,28444.075817081597,146.6000061,6062767.5,0.0,2811215.0,False,Compliant,176.14,2.12
7,NonResidential,Other,7,DOWNTOWN,47.61327,-122.33136,1926,8,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Rien,28444.075817081597,141.6999969,7067881.5,2276286.5,3636655.0,False,Compliant,221.51,2.16
8,NonResidential,Hotel,7,DOWNTOWN,47.60294,-122.33263,1904,15,0,Hotel,Hotel,Rien,28444.075817081597,180.8999939,14194054.0,0.0,7297919.0,False,Compliant,392.16,2.39
9,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.60284,-122.33184,1910,6,1496,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,182.6999969,4807679.5,1039735.188,2532015.0,False,Compliant,151.12,2.37
10,NonResidential,Hotel,7,DOWNTOWN,47.60695,-122.33414,1969,11,19279,Hotel,Hotel,Rien,28444.075817081597,228.1999969,16646930.0,5237165.5,6187627.0,False,Compliant,691.26,4.51
11,NonResidential,Hotel,7,DOWNTOWN,47.60713,-122.33323,1998,25,61161,Hotel,Hotel,Rien,28444.075817081597,199.0,27070114.0,5999360.5,18083049.0,False,Compliant,740.97,2.22
12,NonResidential,Hotel,7,DOWNTOWN,47.60699,-122.33346,1928,9,0,Hotel,Hotel,Rien,28444.075817081597,153.6000061,6358719.5,1656352.5,1343000.0,False,Compliant,328.23,5.05
13,NonResidential,Hotel,7,DOWNTOWN,47.60809,-122.33212,1980,33,57600,"Hotel, Parking",Hotel,Parking,57600.0,179.8999939,22524948.0,4337738.5,13904183.0,False,Compliant,648.62,2.05
14,NonResidential,Hotel,7,DOWNTOWN,47.60755,-122.33244,1922,11,25200,"Hotel, Parking",Hotel,Parking,25200.0,297.3999939,11179203.0,4870847.5,3832369.0,False,Compliant,511.39,5.55
15,Nonresidential COS,Other,7,DOWNTOWN,47.60649,-122.33297,2004,11,57000,"Data Center, Library, Parking",Library,Parking,49000.0,155.6000061,18706912.0,737559.5,17851297.0,False,Compliant,181.38,0.44
16,NonResidential,Other,7,DOWNTOWN,47.60546,-122.33279,1930,6,0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,40000.0,157.3999939,10192124.0,4592347.5,4453868.0,False,Compliant,433.86,4.18
17,NonResidential,Hotel,7,DOWNTOWN,47.60681,-122.33078,1983,28,85000,"Hotel, Parking",Hotel,Parking,85000.0,228.5,34351920.0,0.0,21225277.0,False,Compliant,802.89,1.93
18,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60515,-122.33159,1907,5,0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,Restaurant,15505.0,280.7000122,7877219.0,1776201.875,3764791.0,False,Compliant,273.02,4.75
19,NonResidential,Hotel,7,DOWNTOWN,47.60376,-122.33194,1916,10,0,Hotel,Hotel,Rien,28444.075817081597,225.5,10154608.0,3430862.0,5908370.0,False,Compliant,349.32,3.35
20,NonResidential,Other,7,DOWNTOWN,47.60265,-122.33051,1916,10,0,Courthouse,Courthouse,Rien,28444.075817081597,182.6999969,47023088.0,0.0,24357833.0,False,Compliant,1265.29,2.34
21,NonResidential,Other,3,DOWNTOWN,47.60378,-122.32842,1985,19,0,Other,Other,Rien,28444.075817081597,229.5,49539212.0,0.0,18257661.0,False,Compliant,1699.45,4.41
22,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54576,-122.26853,1961,2,0,K-12 School,K-12 School,Rien,28444.075817081597,60.70000076,1713623.5,0.0,936955.0,True,Error - Correct Default Data,38.53,0.69
23,NonResidential,Hotel,4,NORTHEAST,47.65959,-122.31755,2001,6,30586,"Hotel, Parking",Hotel,Parking,30586.0,148.0,3673186.75,0.0,2266231.0,False,Compliant,90.01,1.02
24,NonResidential,University,7,DOWNTOWN,47.61816,-122.33629,1928,7,0,College/University,College/University,Rien,28444.075817081597,173.0,12183313.0,0.0,4647474.0,False,Compliant,388.04,3.07
25,NonResidential,Other,7,DOWNTOWN,47.615,-122.33081,1930,2,0,Automobile Dealership,Automobile Dealership,Rien,28444.075817081597,61.20000076,1310236.625,0.0,1310236.0,False,Compliant,9.13,0.14
26,NonResidential,Hotel,7,EAST,47.61301,-122.32929,1991,8,30301,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,42000.0,58.0,5424942.0,0.0,572307.0,False,Compliant,256.57,1.62
27,NonResidential,Hotel,7,DOWNTOWN,47.61784,-122.32966,2001,10,38281,Hotel,Hotel,Rien,28444.075817081597,181.1000061,11171407.0,0.0,5610706.0,False,Compliant,328.63,1.91
28,SPS-District K-12,K-12 School,3,Central,47.62266,-122.30547,1955,1,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,0.0,False,Missing Data,0.0,0.0
29,NonResidential,Hotel,7,DOWNTOWN,47.61558,-122.34186,1978,5,16200,Hotel,Hotel,Rien,28444.075817081597,199.6999969,4557974.0,0.0,2346349.0,False,Compliant,128.44,1.88
30,SPS-District K-12,K-12 School,5,NORTH,47.70994,-122.29301,1949,2,0,K-12 School,K-12 School,Rien,28444.075817081597,68.09999847,7800349.5,0.0,1947601.0,True,Error - Correct Default Data,270.18,1.68
31,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,2,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,1496816.0,False,Missing Data,10.43,0.2
32,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.6641,-122.33118,1906,3,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,K-12 School,18153.0,106.5,4703690.0,0.0,1352843.0,False,Compliant,157.77,1.81
33,NonResidential,Hotel,4,NORTHEAST,47.66583,-122.29965,1994,4,0,Hotel,Hotel,Rien,28444.075817081597,162.5,6731281.5,0.0,3016399.0,False,Compliant,215.0,2.63
34,NonResidential,Self-Storage Facility,4,NORTHEAST,47.66172,-122.29598,1955,2,0,Self-Storage Facility,Self-Storage Facility,Rien,28444.075817081597,35.20000076,326223.0938,0.0,281265.0,False,Compliant,3.93,0.04
35,Campus,Mixed Use Property,2,GREATER DUWAMISH,47.53493,-122.31788,1992,3,0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,Laboratory,639931.0,388.2000122,471613856.0,0.0,150476283.0,False,Compliant,16870.98,34.09
36,NonResidential,Warehouse,2,GREATER DUWAMISH,47.51138,-122.28875,1961,2,0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,Refrigerated Warehouse,276000.0,145.8999939,44110016.0,0.0,44731153.0,False,Compliant,311.84,0.44
37,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,2,0,K-12 School,K-12 School,Rien,28444.075817081597,77.80000305,1802471.375,0.0,1217589.0,False,Compliant,31.47,0.57
38,SPS-District K-12,K-12 School,4,NORTHEAST,47.68252,-122.29498,1950,2,0,K-12 School,K-12 School,Rien,28444.075817081597,55.0,7329817.5,0.0,1599684.0,True,Error - Correct Default Data,266.05,1.52
39,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66587,-122.38476,1961,2,0,"Non-Refrigerated Warehouse, Office",Office,Non-Refrigerated Warehouse,39314.0,163.0,6536359.5,0.0,4291585.0,False,Compliant,130.56,1.38
40,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.58034,-122.31132,1900,2,0,"Office, Other - Education",Office,Other - Education,7849.0,108.6999969,3150635.5,0.0,1579749.0,False,Compliant,83.86,1.6
41,NonResidential,K-12 School,6,NORTHWEST,47.68891,-122.33553,1954,3,0,K-12 School,K-12 School,Rien,28444.075817081597,74.0,7886505.5,0.0,2679739.0,False,Compliant,247.85,1.42
42,NonResidential,Self-Storage Facility,7,DOWNTOWN,47.61351,-122.35129,1911,3,0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,Vocational School,28197.0,76.59999847,2331573.25,0.0,1500229.0,False,Compliant,45.43,0.64
43,NonResidential,Hotel,7,DOWNTOWN,47.60946,-122.33337,1969,24,205970,Hotel,Hotel,Rien,28444.075817081597,121.8000031,16163194.0,0.0,12204406.0,False,Compliant,295.33,0.89
44,NonResidential,Large Office,7,DOWNTOWN,47.6113,-122.33659,1973,5,0,"Data Center, Office, Retail Store",Office,Retail Store,65676.0,176.6000061,9536161.0,0.0,9536160.0,False,Compliant,66.48,0.4
45,NonResidential,Other,7,DOWNTOWN,47.61076,-122.33765,1920,2,0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,48.79999924,1239429.75,0.0,714939.0,False,Compliant,33.26,0.58
46,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61048,-122.33794,1910,8,0,"Office, Retail Store",Office,Retail Store,4993.0,398.7000122,5242479.5,0.0,5071973.0,False,Compliant,35.36,0.6
47,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60886,-122.33744,1926,2,0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,Restaurant,23500.0,485.2999878,15683742.0,0.0,4632459.0,False,Compliant,584.31,11.12
48,NonResidential,Hotel,7,DOWNTOWN,47.61233,-122.33432,1930,20,10043,"Hotel, Parking, Restaurant",Hotel,Parking,10043.0,158.6000061,5078816.0,0.0,4290059.0,False,Compliant,59.19,0.6
49,NonResidential,Hotel,7,DOWNTOWN,47.61087,-122.33339,1982,34,146694,"Hotel, Parking, Swimming Pool",Hotel,Parking,117668.0,182.5,82318072.0,11598686.0,45545529.0,False,Compliant,2451.58,2.47
50,NonResidential,Hotel,7,DOWNTOWN,47.60997,-122.34138,1985,7,0,"Hotel, Parking, Restaurant, Retail Store",Hotel,Parking,13730.0,215.8999939,5348309.0,0.0,3243900.0,False,Compliant,134.38,1.89
51,NonResidential,Hotel,7,DOWNTOWN,47.61155,-122.34114,1908,7,0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,Other - Entertainment/Public Assembly,26450.0,68.19999695,6088417.5,0.0,1293561.0,False,Compliant,227.18,1.85
52,NonResidential,Hotel,7,LAKE UNION,47.61986,-122.34413,1959,5,42546,"Hotel, Parking",Hotel,Parking,42546.0,165.6999969,5428403.5,0.0,2944680.0,False,Compliant,144.79,1.28
53,NonResidential,Hotel,7,LAKE UNION,47.62001,-122.34274,2000,7,34735,Hotel,Hotel,Restaurant,3000.0,128.0,6835263.5,0.0,3396109.0,False,Compliant,199.95,1.33
54,NonResidential,Hotel,7,LAKE UNION,47.62025,-122.34314,1997,6,28200,Hotel,Hotel,Parking,28300.0,144.5,5941927.0,0.0,3188457.0,False,Compliant,162.39,1.4
55,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,6,36744,Hotel,Hotel,Rien,28444.075817081597,107.4000015,6849826.5,0.0,4558937.0,False,Compliant,152.76,0.98
56,NonResidential,K-12 School,3,EAST,47.63442,-122.30793,1911,3,0,K-12 School,K-12 School,Rien,28444.075817081597,81.09999847,3800842.5,0.0,551867.0,False,Compliant,146.34,2.61
57,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,4,44891,"Hotel, Parking",Hotel,Parking,44891.0,136.6999969,5387530.0,0.0,2423730.0,False,Compliant,171.64,1.4
58,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60823,-122.30956,1962,2,0,Office,Office,Rien,28444.075817081597,139.6000061,3630147.25,0.0,1978230.0,False,Compliant,87.98,1.6
59,NonResidential,Senior Care Community,1,SOUTHWEST,47.55837,-122.37751,1922,5,0,"Parking, Senior Care Community",Senior Care Community,Parking,0.0,235.0,45547252.0,0.0,11824772.0,False,Compliant,1727.11,7.94
60,NonResidential,Senior Care Community,5,NORTHWEST,47.72426,-122.35599,1970,2,0,Senior Care Community,Senior Care Community,Rien,28444.075817081597,311.5,16959754.0,0.0,5679498.0,False,Compliant,609.1,6.52
61,NonResidential,Hotel,7,LAKE UNION,47.61988,-122.33211,2008,6,20732,"Hotel, Parking",Hotel,Parking,20732.0,154.1999969,3787499.0,0.0,2812688.0,False,Compliant,67.06,0.8
62,SPS-District K-12,K-12 School,1,SOUTHWEST,47.5097,-122.37759,1948,2,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,600813.0,False,Missing Data,4.19,0.08
63,NonResidential,Medical Office,3,EAST,47.61244,-122.3214,1965,3,0,Medical Office,Medical Office,Rien,28444.075817081597,213.3999939,16527711.0,0.0,9886484.0,False,Compliant,430.84,2.41
64,NonResidential,Hotel,3,EAST,47.60898,-122.32693,1908,7,0,Hotel,Hotel,Rien,28444.075817081597,172.0,7250730.5,0.0,2660742.0,False,Compliant,262.75,3.43
65,NonResidential,Mixed Use Property,3,EAST,47.60845,-122.32637,1983,6,9341,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,Parking,20868.0,505.7999878,15684371.0,5327802.5,10145313.0,False,Compliant,481.97,4.83
66,NonResidential,Retail Store,7,LAKE UNION,47.62237,-122.33805,1929,2,0,Retail Store,Retail Store,Rien,28444.075817081597,25.79999924,1243027.75,0.0,361803.0,False,Compliant,39.06,0.67
67,NonResidential,Large Office,7,LAKE UNION,47.62424,-122.33646,2010,5,0,"Office, Other, Parking, Retail Store",Office,Parking,150726.0,144.0,13909270.0,0.0,12871091.0,False,Compliant,138.85,0.44
68,NonResidential,Hotel,3,LAKE UNION,47.62642,-122.33325,1990,7,44766,"Hotel, Parking",Hotel,Parking,51537.0,184.0,20194606.0,0.0,10980652.0,False,Compliant,526.85,1.86
69,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1,0,Other,Other,Rien,28444.075817081597,151.6000061,23736924.0,6093150.0,14419146.0,False,Compliant,607.41,1.56
70,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1,0,Other,Other,Rien,28444.075817081597,261.7000122,8181881.0,4120130.0,3754115.0,False,Compliant,344.2,3.77
71,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938,5,0,Other,Other,Rien,28444.075817081597,138.1000061,21257836.0,9763690.0,7252325.0,False,Compliant,804.2,2.03
72,NonResidential,Large Office,7,LAKE UNION,47.62112,-122.33629,2010,12,0,"Office, Other, Parking",Office,Parking,310699.0,174.1999969,40153432.0,0.0,32206199.0,False,Compliant,617.52,1.08
73,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962,2,0,Other,Other,Rien,28444.075817081597,110.4000015,2682242.75,1202380.0,1293349.0,False,Compliant,101.83,1.96
74,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928,1,0,Other,Other,Rien,28444.075817081597,25.5,875943.3125,0.0,875943.0,False,Compliant,6.11,0.1
75,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928,2,0,Other,Other,Rien,28444.075817081597,171.1999969,20823520.0,5137220.0,13512686.0,False,Compliant,490.73,1.87
76,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986,2,2352,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,Data Center,5181.0,235.1999969,4192107.75,0.0,4166305.0,False,Compliant,29.04,0.44
77,NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010,6,303707,"Office, Other, Parking",Office,Parking,185014.0,130.8000031,38105108.0,0.0,27597261.0,False,Compliant,674.09,0.73
78,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,4,25930,"Office, Other, Parking",Office,Parking,21454.0,192.3999939,3647345.75,0.0,2944692.0,False,Compliant,48.76,0.64
79,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002,6,36934,"Hotel, Parking",Hotel,Parking,36934.0,182.1999969,5274523.0,0.0,2637011.0,False,Compliant,152.14,1.57
80,NonResidential,Hotel,4,NORTHEAST,47.65772,-122.31756,1962,4,0,"Hotel, Swimming Pool",Hotel,Swimming Pool,0.0,203.3000031,5528580.5,0.0,2128306.0,False,Compliant,191.2,3.82
81,SPS-District K-12,K-12 School,1,DELRIDGE,47.5636,-122.358,1999,3,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,1698176.0,False,Missing Data,11.84,0.16
82,NonResidential,K-12 School,3,EAST,47.62548,-122.30828,1923,3,0,K-12 School,K-12 School,Rien,28444.075817081597,82.30000305,3036464.0,0.0,1337786.0,False,Compliant,78.85,1.16
83,NonResidential,K-12 School,3,EAST,47.62644,-122.30429,1908,6,0,K-12 School,K-12 School,Rien,28444.075817081597,54.0,7204080.0,0.0,1887893.0,False,Compliant,243.23,1.25
84,NonResidential,Small- and Mid-Sized Office,3,SOUTHEAST,47.58408,-122.30125,2003,3,35752,"Office, Parking",Office,Parking,35752.0,241.5,4980737.5,0.0,4897760.0,False,Compliant,34.14,0.34
85,SPS-District K-12,K-12 School,2,SOUTHEAST,47.57324,-122.29058,1991,2,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,2347138.0,False,Missing Data,16.36,0.28
86,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.56413,-122.31208,1957,1,0,K-12 School,K-12 School,Rien,28444.075817081597,85.59999847,7300977.5,0.0,2262820.0,True,Error - Correct Default Data,238.48,1.82
87,SPS-District K-12,K-12 School,2,SOUTHEAST,47.55478,-122.27596,1989,3,0,K-12 School,K-12 School,Rien,28444.075817081597,78.69999695,1749171.25,0.0,1436416.0,True,Error - Correct Default Data,20.48,0.34
88,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.63683,-122.35896,1964,2,0,K-12 School,K-12 School,Rien,28444.075817081597,65.90000153,3216155.0,0.0,1486758.0,True,Error - Correct Default Data,84.75,0.91
89,NonResidential,Other,4,NORTHEAST,47.67524,-122.31534,1941,4,0,Other,Other,Rien,28444.075817081597,407.3999939,6367210.0,0.0,6357631.0,False,Compliant,44.32,0.78
90,NonResidential,Other,4,NORTHEAST,47.67559,-122.31769,1929,2,0,"Other, Parking",Other,Parking,0.0,72.59999847,4384625.5,0.0,2001103.0,False,Compliant,133.58,0.65
91,NonResidential,Hotel,5,NORTHWEST,47.73141,-122.3458,2001,4,0,"Hotel, Parking",Hotel,Parking,0.0,130.6999969,3616214.0,0.0,1398289.0,False,Compliant,127.29,2.48
92,SPS-District K-12,K-12 School,5,NORTHWEST,47.72463,-122.35315,1963,2,0,K-12 School,K-12 School,Rien,28444.075817081597,59.09999847,4290831.5,0.0,1775488.0,True,Error - Correct Default Data,124.92,0.95
93,SPS-District K-12,K-12 School,5,NORTHWEST,47.7257,-122.33684,1959,1,0,K-12 School,K-12 School,Rien,28444.075817081597,83.69999695,12870916.0,0.0,3926011.0,False,Compliant,443.73,1.81
94,NonResidential,Hotel,5,NORTHWEST,47.72551,-122.3423,2002,3,0,Hotel,Hotel,Rien,28444.075817081597,101.5999985,3323400.5,0.0,1802889.0,False,Compliant,89.02,1.29
95,SPS-District K-12,K-12 School,6,LAKE UNION,47.65464,-122.34912,1991,3,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,2104286.0,False,Missing Data,14.67,0.22
96,NonResidential,Hotel,7,DOWNTOWN,47.6048,-122.3368,1904,5,0,"Hotel, Parking",Hotel,Parking,19051.0,84.0,6505995.0,0.0,4402910.0,False,Compliant,142.39,0.75
97,Nonresidential COS,Other,7,DOWNTOWN,47.60804,-122.3367,1998,6,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Rien,28444.075817081597,192.5,14881950.0,4311136.0,9803021.0,False,Compliant,429.12,1.51
98,NonResidential,Hospital,6,BALLARD,47.66737,-122.37956,1954,5,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),Parking,148865.0,479.5,47602720.0,0.0,35237205.0,False,Compliant,1990.5,6.98
99,SPS-District K-12,K-12 School,6,Ballard,47.6706,-122.36225,1991,2,0,K-12 School,K-12 School,Rien,28444.075817081597,80.40000153,1598852.625,0.0,1513571.0,True,Error - Correct Default Data,10.55,0.19
100,Nonresidential COS,Other,2,DOWNTOWN,47.60112,-122.32785,2006,4,0,"Office, Other",Other,Office,29219.0,338.2999878,9550716.0,0.0,6947270.0,False,Compliant,176.75,2.89
101,NonResidential,Other,2,DOWNTOWN,47.59809,-122.32283,1910,4,13820,Museum,Museum,Rien,28444.075817081597,83.69999695,2095175.25,0.0,1311669.0,False,Compliant,46.26,0.64
102,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1996,4,14200,"Hotel, Parking",Hotel,Parking,32692.0,150.5,8016521.0,0.0,4197462.0,False,Compliant,228.4,1.41
103,SPS-District K-12,K-12 School,2,SOUTHEAST,47.57589,-122.29365,1990,4,0,K-12 School,K-12 School,Rien,28444.075817081597,78.5,9542598.0,0.0,6449764.0,True,Error - Correct Default Data,170.84,0.59
104,NonResidential,University,3,EAST,47.61495,-122.32177,1915,3,0,College/University,College/University,Rien,28444.075817081597,111.1999969,3284214.5,0.0,1911064.0,False,Compliant,74.33,1.17
105,Campus,University,1,DELRIDGE,47.547,-122.35307,1970,2,0,College/University,College/University,Rien,28444.075817081597,192.8000031,41151732.0,0.0,25314575.0,False,Compliant,866.23,1.96
106,NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.67828,-122.26456,2002,2,0,"Data Center, Office",Office,Data Center,4944.0,476.5,16274449.0,0.0,13973696.0,False,Compliant,222.02,2.31
107,Nonresidential COS,Other,2,GREATER DUWAMISH,47.59545,-122.32146,1950,1,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",Rien,28444.075817081597,242.6999969,8086930.5,0.0,4182001.0,False,Compliant,204.08,3.03
108,SPS-District K-12,K-12 School,3,CENTRAL,47.60598,-122.30156,2008,3,0,K-12 School,K-12 School,Rien,28444.075817081597,120.3000031,14810159.0,0.0,7835065.0,True,Error - Correct Default Data,359.09,1.41
109,SPS-District K-12,K-12 School,2,SOUTHEAST,47.51482,-122.25864,2001,3,0,K-12 School,K-12 School,Rien,28444.075817081597,76.90000153,2677620.75,0.0,1645214.0,True,Error - Correct Default Data,56.82,0.72
110,SPS-District K-12,K-12 School,3,CENTRAL,47.61224,-122.29087,2002,3,0,K-12 School,K-12 School,Rien,28444.075817081597,94.09999847,2579774.5,0.0,1824845.0,True,Error - Correct Default Data,41.74,0.62
111,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.52915,-122.28904,2000,3,0,K-12 School,K-12 School,Rien,28444.075817081597,77.80000305,3783580.25,0.0,1927067.0,True,Error - Correct Default Data,94.64,0.96
112,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.53827,-122.28406,1958,1,0,"Office, Other",Office,Other,25000.0,234.8999939,4503671.5,0.0,3569337.0,False,Compliant,61.21,1.12
113,NonResidential,Other,2,GREATER DUWAMISH,47.53722,-122.284,2009,5,0,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,Office,37938.0,24.60000038,2220796.5,0.0,67462.0,False,Compliant,100.46,1.12
114,NonResidential,University,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1980,2,0,College/University,College/University,Rien,28444.075817081597,180.6999969,4390158.0,0.0,2479273.0,False,Compliant,104.26,1.98
115,NonResidential,Residence Hall,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,2001,4,37500,Residence Hall/Dormitory,Residence Hall/Dormitory,Rien,28444.075817081597,70.19999695,4800620.5,0.0,2316298.0,False,Compliant,129.39,0.93
116,SPS-District K-12,K-12 School,5,NORTH,47.70763,-122.29453,2011,2,0,"K-12 School, Parking",K-12 School,Parking,0.0,78.69999695,9287467.0,0.0,4789948.0,False,Compliant,222.78,0.94
117,NonResidential,Other,3,CENTRAL,47.60462,-122.31549,1971,6,0,"Courthouse, Other",Other,Courthouse,78357.0,145.6000061,14196194.0,4336524.5,8155002.0,False,Compliant,422.39,1.68
118,SPS-District K-12,K-12 School,6,NORTHWEST,47.68725,-122.35996,2002,3,0,K-12 School,K-12 School,Rien,28444.075817081597,70.59999847,2192411.0,0.0,1114389.0,True,Error - Correct Default Data,54.07,0.86
119,NonResidential,Other,7,DOWNTOWN,47.61598,-122.33448,2004,11,68432,Other,Other,Rien,28444.075817081597,530.7000122,66000296.0,0.0,30651644.0,False,Compliant,2055.82,6.87
120,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.536,-122.31768,2007,3,0,"Non-Refrigerated Warehouse, Office, Other - Services",Office,Non-Refrigerated Warehouse,15000.0,165.8000031,3375016.25,0.0,2657382.0,False,Compliant,49.58,0.77
121,NonResidential,Retail Store,5,NORTH,47.70759,-122.3255,1951,1,0,"Restaurant, Retail Store",Retail Store,Restaurant,24936.0,118.9000015,28763498.0,0.0,16224529.0,False,Compliant,723.47,1.36
122,NonResidential,Other,5,NORTH,47.7066,-122.321,1964,3,0,Other/Specialty Hospital,Other/Specialty Hospital,Rien,28444.075817081597,311.0,7668810.0,0.0,3344827.0,False,Compliant,231.53,4.27
123,NonResidential,Retail Store,5,NORTH,47.70619,-122.32586,1965,4,0,Retail Store,Retail Store,Rien,28444.075817081597,223.6999969,8729918.0,0.0,8653621.0,False,Compliant,66.3,0.53
124,NonResidential,Hospital,4,NORTHEAST,47.66231,-122.28146,1953,10,0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Rien,28444.075817081597,578.2000122,257764208.0,0.0,115641210.0,False,Compliant,8145.52,9.27
